Model Name,Vocabulary Size,Number of Correct Labels,Number of Valid Answers,"Model Accuracy 
"
word2vec-google-news-300,3000000,4,5,0.8

glove-wiki-gigaword-200,400000,6,6,1.0

glove-twitter-200,1193514,4,6,0.6666666666666666

glove-twitter-100,1193514,4,6,0.6666666666666666

glove-twitter-25,1193514,2,6,0.3333333333333333

word2vec-custom-E100-W5,15132,1,4,0.25

word2vec-custom-E300-W5,15132,2,4,0.5

word2vec-custom-E100-W10,15132,2,4,0.5

word2vec-custom-E300-W10,15132,2,4,0.5

